ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
44,variable,woo-vneck-tee,Camiseta con cuello en V,1,1,visible,Este es un producto variable.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.23,61,2.5,5.1,1,,,,Ropa > Camisetas,,,"https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/vneck-tee-2.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/vnech-tee-green-1.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/vnech-tee-blue-1.jpg",,,,,,,,,0,Color,"Azul, Verde, Rojo",1,1,Tamaño,"Grande, Mediano, Pequeño",1,1,1,,,,
45,variable,woo-hoodie,Sudadera,1,0,visible,Este es un producto variable.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.68,25.4,20.3,7.6,1,,,,Ropa > Sudaderas,,,"https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-2.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-blue-1.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-green-1.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-with-logo-2.jpg",,,,,,,,,0,Color,"Azul, Verde, Rojo",1,1,Logo,"Sí, No",1,0,1,,,,
46,simple,woo-hoodie-with-logo,Sudadera con Logo,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.91,25.4,15.2,7.6,1,,,45000,Ropa > Sudaderas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-with-logo-2.jpg,,,,,,,,,0,Color,Azul,1,1,,,,,1,,,,
47,simple,woo-tshirt,Camiseta de manga corta,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.36,20.3,15.2,2.5,1,,,18000,Ropa > Camisetas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/tshirt-2.jpg,,,,,,,,,0,Color,Gris,1,1,,,,,1,,,,
48,simple,woo-beanie,Gorro,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.09,10.2,12.7,1.3,1,,18000,20000,Ropa > Accesorios,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/beanie-2.jpg,,,,,,,,,0,Color,Rojo,1,1,,,,,1,,,,
58,simple,woo-belt,Cinturón,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.54,30.5,5.1,3.8,1,,55000,65000,Ropa > Accesorios,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/belt-2.jpg,,,,,,,,,0,,,,,,,,,1,,,,
60,simple,woo-cap,Gorra,1,1,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.27,20.3,16.5,10.2,1,,15000,18000,Ropa > Accesorios,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/cap-2.jpg,,,,,,,,,0,Color,Amarillo,1,1,,,,,1,,,,
62,simple,woo-sunglasses,Gafas de sol,1,1,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.09,10.2,3.6,2.5,1,,,90000,Ropa > Accesorios,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/sunglasses-2.jpg,,,,,,,,,0,,,,,,,,,1,,,,
64,simple,woo-hoodie-with-pocket,Sudadera con bolsillo,1,1,hidden,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,1.36,25.4,20.3,5.1,1,,35000,45000,Ropa > Sudaderas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-with-pocket-2.jpg,,,,,,,,,0,Color,Gris,1,1,,,,,1,,,,
66,simple,woo-hoodie-with-zipper,Sudadera con cremallera,1,1,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.91,20.3,15.2,5.1,1,,,45000,Ropa > Sudaderas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-with-zipper-2.jpg,,,,,,,,,0,,,,,,,,,1,,,,
68,simple,woo-long-sleeve-tee,Camiseta de manga larga,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.45,17.8,12.7,2.5,1,,,25000,Ropa > Camisetas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/long-sleeve-tee-2.jpg,,,,,,,,,0,Color,Verde,1,1,,,,,1,,,,
70,simple,woo-polo,Polo,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.36,15.2,12.7,2.5,1,,,20000,Ropa > Camisetas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/polo-2.jpg,,,,,,,,,0,Color,Azul,1,1,,,,,1,,,,
73,"simple, downloadable, virtual",woo-album,Álbum,1,0,visible,Este es un producto simple y virtual.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,1,,,20000,Música,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/album-1.jpg,1,1,,,,,,,0,,,,,,,,,1,Sencillo 1,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/single.jpg,Sencillo 2,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/album.jpg
75,"simple, downloadable, virtual",woo-single,Sencillo,1,0,visible,Este es un producto simple y virtual.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,1,,3000,5000,Música,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/single-1.jpg,1,1,,,,,,,0,,,,,,,,,1,Sencillo,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/single.jpg,,
76,variation,woo-vneck-tee-red,Camiseta con cuello en V - Rojo,1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,20000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/vneck-tee-2.jpg,,,woo-vneck-tee,,,,,,0,Color,Rojo,,1,Tamaño,,,1,,,,,
77,variation,woo-vneck-tee-green,Camiseta con cuello en V - Verde,1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,20000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/vnech-tee-green-1.jpg,,,woo-vneck-tee,,,,,,0,Color,Verde,,1,Tamaño,,,1,,,,,
78,variation,woo-vneck-tee-blue,Camiseta con cuello en V - Azul,1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,15000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/vnech-tee-blue-1.jpg,,,woo-vneck-tee,,,,,,0,Color,Azul,,1,Tamaño,,,1,,,,,
79,variation,woo-hoodie-red,"Sudadera Con Capucha - Rojo, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,40000,45000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-2.jpg,,,woo-hoodie,,,,,,1,Color,Rojo,,1,Logo,No,,0,,,,,
80,variation,woo-hoodie-green,"Sudadera Con Capucha - Verde, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,45000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-green-1.jpg,,,woo-hoodie,,,,,,2,Color,Verde,,1,Logo,No,,0,,,,,
81,variation,woo-hoodie-blue,"Sudadera Con Capucha - Azul, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,45000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-blue-1.jpg,,,woo-hoodie,,,,,,3,Color,Azul,,1,Logo,No,,0,,,,,
83,simple,Woo-tshirt-logo,Camiseta con Logotipo,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.23,25.4,30.5,1.3,1,,,18000,Ropa > Camisetas,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/t-shirt-with-logo-1.jpg,,,,,,,,,0,Color,Verde,1,1,,,,,1,,,,
85,simple,Woo-beanie-logo,Gorro con Logo,1,0,visible,Este es un producto sencillo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,0.09,15.2,10.2,2.5,1,,18000,20000,Ropa > Accesorios,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/beanie-with-logo-1.jpg,,,,,,,,,0,Color,Azul,1,1,,,,,1,,,,
87,grouped,logo-collection,Colección de logotipos,1,0,visible,Este es un producto agrupado.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,,,,,1,,,,Ropa,,,"https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/logo-1.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/beanie-with-logo-1.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/t-shirt-with-logo-1.jpg, https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-with-logo-2.jpg",,,,"woo-hoodie-with-logo, woo-tshirt, woo-beanie",,,,,0,,,,,,,,,1,,,,
89,external,wp-pennant,Banderín de WordPress,1,0,visible,Este es un producto externo.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,0,0,,,,,1,,,12000,Decoración,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/pennant-1.jpg,,,,,,,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,0,,,,,,,,,1,,,,
90,variation,woo-hoodie-blue-logo,"Sudadera con capucha - Azul, Sí",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,0,0,,,,,0,,,45000,,,,https://github.com/rolodoom/woocommerce-sample-data-es_co/raw/main/images/hoodie-with-logo-2.jpg,,,woo-hoodie,,,,,,0,Color,Azul,,1,Logo,Sí,,0,,,,,
